time,STH_71,S_41,T_20,SA,CT,STH_pred,d_error
2000-03-15,26.177,35.554,15.99,35.722571,15.946001,26.184857,0.007857
2000-03-16,26.187,35.658,16.3,35.827065,16.252869,26.193283,0.006283
2000-03-17,26.313,35.552,15.39,35.720559,15.346729,26.319259,0.00626
2000-03-18,26.315,35.528,15.31,35.696447,15.26744,26.318649,0.003648
2000-03-19,26.26,35.58,15.75,35.748696,15.705581,26.259638,-0.000362
2000-03-20,26.201,35.572,15.93,35.740655,15.885589,26.212444,0.011444
2000-03-21,26.337,35.485,15.05,35.653244,15.008837,26.343189,0.006189
2000-03-22,26.422,35.446,14.53,35.614058,14.490418,26.426551,0.004551
2000-03-23,26.367,35.516,15.06,35.684389,15.018039,26.364877,-0.002123
2000-03-24,26.396,35.399,14.47,35.566834,14.431646,26.403197,0.007198
2000-03-25,26.48,35.359,13.91,35.526647,13.873261,26.491258,0.011258
2000-03-26,26.564,35.303,13.31,35.470382,13.27529,26.572061,0.008062
2000-03-27,26.548,35.313,13.46,35.480428,13.424878,26.549096,0.001096
2000-03-28,26.513,35.374,13.84,35.541718,13.802987,26.517513,0.004513
2000-03-29,26.493,35.41,14.08,35.577888,14.041835,26.494866,0.001866
2000-03-30,26.469,35.376,14.03,35.543726,13.992713,26.479154,0.010154
2000-03-31,26.545,35.352,13.61,35.519614,13.573785,26.548345,0.003345
2000-04-01,26.534,35.366,13.73,35.53368,13.693309,26.534274,0.000274
2000-04-02,26.436,35.428,14.41,35.595975,14.371003,26.438476,0.002475
2000-04-03,26.425,35.415,14.39,35.582913,14.351345,26.432728,0.007729
2000-04-04,26.455,35.394,14.19,35.561813,14.15209,26.459192,0.004192
2000-04-05,26.5,35.385,13.95,35.552768,13.912592,26.502952,0.002952
2000-04-06,26.461,35.392,14.16,35.559801,14.122174,26.464015,0.003014
2000-04-07,26.452,35.418,14.3,35.585925,14.261378,26.454298,0.002298
2000-04-08,26.443,35.405,14.29,35.572863,14.251706,26.446393,0.003393
2000-04-09,26.45,35.391,14.19,35.558797,14.152163,26.456873,0.006873
2000-04-10,26.517,35.374,13.83,35.541718,13.792999,26.519604,0.002604
2000-04-11,26.469,35.402,14.17,35.56985,14.131921,26.469619,0.000619
2000-04-12,26.471,35.426,14.25,35.593962,14.211242,26.471141,0.00014
2000-04-13,26.444,35.368,14.12,35.535689,14.082801,26.453954,0.009954
2000-04-14,26.499,35.393,14.0,35.560809,13.962341,26.498616,-0.000384
2000-04-15,26.463,35.39,14.12,35.557792,14.08227,26.470949,0.00795
2000-04-16,26.498,35.385,13.96,35.552768,13.92258,26.50085,0.002851
2000-04-17,26.459,35.415,14.26,35.582913,14.221498,26.460516,0.001516
2000-04-18,26.461,35.389,14.12,35.556788,14.082294,26.470177,0.009177
2000-04-19,26.532,35.341,13.64,35.50856,13.604008,26.533624,0.001625
2000-04-20,26.501,35.381,13.94,35.548751,13.9027,26.501964,0.000964
2000-04-21,26.524,35.333,13.63,35.500523,13.594208,26.529508,0.005508
2000-04-22,26.539,35.29,13.39,35.45732,13.355496,26.545652,0.006653
2000-04-23,26.548,35.332,13.52,35.499519,13.484363,26.551455,0.003454
2000-04-24,26.517,35.34,13.69,35.507556,13.653972,26.522481,0.005481
2000-04-25,26.522,35.353,13.72,35.520618,13.68363,26.526301,0.004301
2000-04-26,26.57,35.276,13.18,35.443254,13.146066,26.577589,0.007589
2000-04-27,26.591,35.298,13.2,35.465357,13.165537,26.590568,-0.000432
2000-04-28,26.583,35.309,13.27,35.476407,13.2352,26.584855,0.001854
2000-04-29,26.526,35.348,13.69,35.515594,13.653783,26.528668,0.002669
2000-04-30,26.511,35.368,13.84,35.535689,13.80313,26.512874,0.001875
2000-05-01,26.519,35.354,13.74,35.521622,13.703582,26.522913,0.003914
2000-05-02,26.521,35.352,13.72,35.519614,13.683653,26.525528,0.004528
2000-05-03,26.526,35.352,13.7,35.519614,13.663677,26.529685,0.003686
2000-05-04,26.478,35.386,14.05,35.553776,14.012449,26.482662,0.004662
2000-05-05,26.535,35.338,13.6,35.505548,13.564127,26.539585,0.004585
2000-05-06,26.525,35.333,13.62,35.500523,13.58422,26.531579,0.006579
2000-05-07,26.547,35.339,13.57,35.506552,13.534139,26.546557,-0.000444
2000-05-08,26.467,35.392,14.12,35.559801,14.082222,26.472494,0.005495
2000-05-09,26.525,35.348,13.7,35.515594,13.663771,26.526591,0.001591
2000-05-10,26.514,35.356,13.77,35.523631,13.733499,26.51821,0.00421
2000-05-11,26.482,35.393,14.07,35.560809,14.032256,26.483847,0.001846
2000-05-12,26.388,35.459,14.72,35.62712,14.679873,26.395426,0.007426
2000-05-13,26.484,35.402,14.1,35.56985,14.062004,26.484455,0.000456
2000-05-14,26.478,35.371,13.98,35.538701,13.942892,26.485823,0.007823
2000-05-15,26.438,35.422,14.38,35.589946,14.341185,26.440276,0.002276
2000-05-16,26.374,35.468,14.82,35.636161,14.779531,26.38057,0.00657
2000-05-17,26.449,35.389,14.19,35.556788,14.152212,26.455329,0.00633
2000-05-18,26.4,35.43,14.58,35.597983,14.540755,26.403407,0.003408
2000-05-19,26.406,35.456,14.65,35.624107,14.610029,26.408316,0.002316
2000-05-20,26.294,35.491,15.28,35.659273,15.238424,26.296831,0.002831
2000-05-21,26.345,35.45,14.88,35.618078,14.839914,26.353568,0.008568
2000-05-22,26.3,35.473,15.18,35.641186,15.138996,26.305185,0.005186
2000-05-23,26.277,35.56,15.61,35.7286,15.566265,26.275955,-0.001045
2000-05-24,26.235,35.536,15.69,35.704485,15.646802,26.239383,0.004382
2000-05-25,26.26,35.515,15.5,35.683385,15.45756,26.266091,0.006091
2000-05-26,26.318,35.501,15.19,35.669319,15.148269,26.324544,0.006543
2000-05-27,26.33,35.509,15.19,35.677356,15.148065,26.330708,0.000709
2000-05-28,26.295,35.532,15.41,35.700468,15.367221,26.299379,0.004379
2000-05-29,26.278,35.555,15.57,35.723576,15.526441,26.281132,0.003132
2000-05-30,26.169,35.62,16.29,35.788882,16.243907,26.166393,-0.002608
2000-05-31,26.167,35.624,16.24,35.792903,16.193854,26.181064,0.014064
2000-06-01,26.315,35.548,15.38,35.716543,15.336843,26.318418,0.003417
2000-06-02,26.239,35.571,15.79,35.73965,15.745772,26.243616,0.004616
2000-06-03,26.266,35.527,15.52,35.695443,15.477227,26.270834,0.004834
2000-06-04,26.18,35.524,15.9,35.692427,15.856892,26.182375,0.002375
2000-06-05,26.217,35.585,15.92,35.753717,15.875256,26.224733,0.007734
2000-06-06,26.265,35.496,15.38,35.664294,15.338184,26.278362,0.013363
2000-06-07,26.327,35.491,15.14,35.659273,15.098582,26.327923,0.000923
2000-06-08,26.338,35.46,14.97,35.628124,14.929561,26.341532,0.003532
2000-06-09,26.38,35.542,15.08,35.710514,15.037354,26.380503,0.000504
2000-06-10,26.39,35.494,14.86,35.662286,14.818831,26.391877,0.001878
2000-06-11,26.354,35.46,14.89,35.628124,14.849652,26.359088,0.005087
2000-06-12,26.359,35.492,15.0,35.660277,14.958717,26.359604,0.000605
2000-06-13,26.305,35.507,15.26,35.675348,15.218036,26.313611,0.00861
2000-06-14,26.431,35.433,14.44,35.600996,14.400844,26.435892,0.004893
2000-06-15,26.365,35.51,15.0,35.67836,14.958262,26.37348,0.00848
2000-06-16,26.42,35.478,14.67,35.646211,14.629458,26.42095,0.00095
2000-06-17,26.356,35.533,15.13,35.701472,15.087523,26.362507,0.006506
2000-06-18,26.322,35.564,15.4,35.732617,15.356406,26.326264,0.004264
