time,STH_71,S_41,T_20,SA,CT,STH_pred,d_error
2000-03-15,23.28,36.044,27.71,36.214287,27.663103,23.278457,-0.001544
2000-03-16,23.223,36.053,27.91,36.223332,27.86286,23.219838,-0.003162
2000-03-17,23.242,36.061,27.86,36.231369,27.8125,23.242232,0.000231
2000-03-18,23.249,36.056,27.83,36.226345,27.782686,23.248286,-0.000714
2000-03-19,23.253,36.047,27.8,36.217303,27.753037,23.251326,-0.001674
2000-03-20,23.207,36.039,27.92,36.209266,27.873445,23.206029,-0.000972
2000-03-21,23.333,36.098,27.67,36.268543,27.620867,23.332137,-0.000863
2000-03-22,23.242,36.056,27.86,36.226345,27.812706,23.238469,-0.003531
2000-03-23,23.211,36.067,27.97,36.237398,27.92232,23.210693,-0.000308
2000-03-24,23.344,36.12,27.69,36.290646,27.639977,23.342171,-0.001829
2000-03-25,23.482,36.191,27.42,36.361985,27.36695,23.483419,0.001418
2000-03-26,23.406,36.138,27.54,36.308733,27.489164,23.404561,-0.001439
2000-03-27,23.319,36.149,27.83,36.319783,27.778859,23.318255,-0.000745
2000-03-28,23.439,36.211,27.57,36.382076,27.516196,23.449751,0.010752
2000-03-29,23.519,36.222,27.42,36.393129,27.36569,23.506757,-0.012242
2000-03-30,23.596,36.198,27.08,36.369018,27.026536,23.5985,0.0025
2000-03-31,23.445,36.205,27.58,36.376051,27.526446,23.441984,-0.003016
2000-04-01,23.379,36.164,27.69,36.334857,27.638174,23.375285,-0.003715
2000-04-02,23.434,36.191,27.57,36.361985,27.517013,23.4347,0.0007
2000-04-03,23.374,36.175,27.72,36.345906,27.667736,23.373772,-0.000229
2000-04-04,23.486,36.228,27.49,36.399158,27.435471,23.488557,0.002557
2000-04-05,23.51,36.261,27.52,36.432315,27.464137,23.503652,-0.006348
2000-04-06,23.492,36.219,27.45,36.390117,27.395824,23.494768,0.002767
2000-04-07,23.527,36.272,27.47,36.443365,27.413671,23.528176,0.001175
2000-04-08,23.514,36.304,27.59,36.475517,27.532404,23.513246,-0.000754
2000-04-09,23.446,36.283,27.75,36.454418,27.693316,23.445247,-0.000752
2000-04-10,23.682,36.327,27.1,36.498625,27.041347,23.689237,0.007238
2000-04-11,23.664,36.308,27.15,36.479534,27.092123,23.658815,-0.005185
2000-04-12,23.287,36.164,27.98,36.334857,27.928318,23.280374,-0.006627
2000-04-13,23.37,36.184,27.74,36.354948,27.687376,23.374013,0.004012
2000-04-14,23.554,36.252,27.34,36.42327,27.284443,23.555263,0.001262
2000-04-15,23.533,36.243,27.4,36.414228,27.344828,23.529052,-0.003949
2000-04-16,23.278,36.123,27.9,36.293663,27.849967,23.275774,-0.002226
2000-04-17,23.288,36.143,27.91,36.313758,27.859148,23.287542,-0.000458
2000-04-18,23.186,36.08,28.08,36.25046,28.031853,23.184327,-0.001674
2000-04-19,23.273,36.129,27.93,36.299691,27.879737,23.270453,-0.002548
2000-04-20,23.521,36.22,27.37,36.391121,27.315753,23.521456,0.000456
2000-04-21,23.288,36.133,27.89,36.303708,27.839549,23.286572,-0.001428
2000-04-22,23.206,36.098,28.07,36.268543,28.0211,23.201152,-0.004847
2000-04-23,23.015,35.933,28.26,36.102762,28.218094,23.014468,-0.000531
2000-04-24,23.084,35.954,28.1,36.123862,28.057091,23.082989,-0.001011
2000-04-25,22.868,35.799,28.41,35.968131,28.373825,22.86415,-0.003851
2000-04-26,22.947,35.845,28.27,36.014349,28.231769,22.945012,-0.001989
2000-04-27,23.1,35.888,27.89,36.057552,27.849648,23.102269,0.002269
2000-04-28,23.023,35.83,27.99,35.999279,27.95213,23.025875,0.002875
2000-04-29,22.837,35.661,28.2,35.829478,28.169353,22.829768,-0.007232
2000-04-30,22.611,35.471,28.43,35.638582,28.40757,22.611036,3.6e-05
2000-05-01,22.656,35.508,28.38,35.675755,28.355953,22.655374,-0.000626
2000-05-02,22.586,35.415,28.39,35.582317,28.369853,22.582182,-0.003818
