time,STH_71,S_41,T_20,SA,CT,STH_pred,d_error
2000-03-15,23.212,36.045,27.92,36.215246,27.877954,23.208949,-0.003051
2000-03-16,23.207,36.049,27.94,36.219267,27.897805,23.2054,-0.0016
2000-03-17,23.202,36.045,27.95,36.215246,27.907978,23.19911,-0.00289
2000-03-18,23.207,36.056,27.96,36.2263,27.91753,23.204105,-0.002896
2000-03-19,23.196,36.044,27.96,36.214242,27.918026,23.195078,-0.000922
2000-03-20,23.192,36.035,27.95,36.205201,27.908391,23.191589,-0.00041
2000-03-21,23.189,36.044,27.99,36.214242,27.94805,23.18523,-0.003769
2000-03-22,23.177,36.053,28.04,36.223287,27.997718,23.175573,-0.001427
2000-03-23,23.191,36.076,28.05,36.246395,28.006772,23.189583,-0.001417
2000-03-24,23.256,36.12,27.95,36.290601,27.904882,23.255526,-0.000475
2000-03-25,23.259,36.121,27.95,36.291606,27.904841,23.256278,-0.002723
2000-03-26,23.246,36.12,27.98,36.290601,27.934902,23.245678,-0.000322
2000-03-27,23.283,36.151,27.94,36.32175,27.893595,23.282128,-0.000873
2000-03-28,23.331,36.179,27.86,36.349882,27.81239,23.329419,-0.00158
2000-03-29,23.298,36.174,27.95,36.344857,27.902652,23.296147,-0.001853
2000-03-30,23.264,36.161,28.03,36.331795,27.983241,23.260088,-0.003912
2000-03-31,23.274,36.172,28.02,36.342849,27.972779,23.27165,-0.00235
2000-04-01,23.245,36.14,28.04,36.310696,27.994117,23.241005,-0.003996
2000-04-02,23.189,36.133,28.19,36.303663,28.144512,23.186332,-0.002667
2000-04-03,23.189,36.138,28.2,36.308688,28.154311,23.186793,-0.002206
2000-04-04,23.202,36.147,28.18,36.317729,28.133922,23.200159,-0.001841
2000-04-05,23.143,36.148,28.36,36.318734,28.314008,23.141413,-0.001587
2000-04-06,23.086,36.107,28.44,36.27754,28.395782,23.084075,-0.001926
2000-04-07,23.114,36.12,28.38,36.290601,28.335191,23.113739,-0.000261
2000-04-08,23.184,36.175,28.3,36.345862,28.252838,23.181572,-0.002428
2000-04-09,23.068,36.114,28.51,36.284573,28.465543,23.066096,-0.001905
2000-04-10,23.049,36.073,28.47,36.243382,28.427229,23.048568,-0.000432
2000-04-11,22.963,35.957,28.47,36.126833,28.43209,22.961383,-0.001616
2000-04-12,22.956,35.935,28.44,36.10473,28.402983,22.954799,-0.001201
2000-04-13,22.952,35.933,28.45,36.102718,28.413077,22.949978,-0.002022
2000-04-14,22.919,35.912,28.5,36.081619,28.464006,22.917606,-0.001394
2000-04-15,22.892,35.896,28.55,36.065544,28.514729,22.888977,-0.003023
2000-04-16,22.849,35.859,28.59,36.028371,28.556327,22.847879,-0.001122
2000-04-17,22.787,35.815,28.68,35.984161,28.64828,22.784861,-0.00214
2000-04-18,22.753,35.776,28.69,35.944979,28.659936,22.752232,-0.000768
2000-04-19,22.743,35.754,28.67,35.922875,28.640838,22.742367,-0.000633
