time,depth,temperature,salinity,SA,CT,STH_pred,rho_pred,N2
2000-01-16,5.0215898,26.163026809692383,35.87061309814453,36.04001774,26.13003234,23.6408346,23.662184440000036,2.746260795232563e-05
2000-01-16,15.07854,26.186866760253903,35.9180908203125,36.0877363,26.14975467,23.66987287,23.73396691000005,0.00010724881461922762
2000-01-16,25.16046,26.14067268371582,36.04854965209961,36.21882916,26.096143,23.78354296,23.890478700000017,-3.4736264781417685e-05
2000-01-16,35.27829,26.199018478393555,36.022953033447266,36.19313312,26.15322496,23.74661214,23.896517099999983,0.0001173218760754771
2000-01-16,45.44776,25.72914695739746,35.992919921875,36.16300943,25.68202525,23.87179425,24.065177100000028,0.00028647342110723695
2000-01-16,55.691494,24.658172607421875,35.964115142822266,36.13411611,24.60957085,24.17959752,24.41734163000001,0.0005537164080320052
2000-01-16,66.041985,22.48075485229492,35.91051483154297,36.08028705,22.43181856,24.78027472,25.06419733000007,0.00048804482948384617
2000-01-16,76.54591,20.388351440429688,35.85374450683594,36.02328213,20.33983715,25.31699606,25.64846121000005,0.00029388136029741415
2000-01-16,87.27029,18.892953872680664,35.77165985107422,35.94093119,18.84583364,25.64639975,26.026380849999896,0.00033769153104837063
2000-01-16,98.31118,16.995498657226562,35.666934967041016,35.83583584,16.95097946,26.0354105,26.46661463999999,0.00023856431613193316
2000-01-16,109.806175,15.453032493591309,35.572975158691406,35.7415416,15.41073942,26.32085741,26.805504630000087,8.343763535773208e-05
2000-01-16,121.9519,14.921907424926758,35.55611801147461,35.72471671,14.8788017,26.42628885,26.96569131000001,5.160290636223096e-05
2000-01-16,135.02855,14.027372360229492,35.39498519897461,35.56293754,13.98742986,26.49494785,27.09454320000009,4.912187118389469e-05
2000-01-16,149.43373,13.264872550964355,35.28343963623047,35.45099102,13.22651157,26.56716042,27.23295976999998,3.644784677911436e-05
2000-01-16,165.72845,12.663495063781738,35.20524978637695,35.37254509,12.62550893,26.62766455,27.36802575999991,2.2777882622784056e-05
2000-01-16,184.69746,12.18036937713623,35.13929748535156,35.30641782,12.14202018,26.67132252,27.4981766599999,3.081962197941783e-05
2000-01-16,207.42545,11.630596160888672,35.09601211547852,35.26307915,11.59112136,26.74273656,27.67356266999991,1.717513875186028e-05
2000-01-16,235.38617,11.170411109924316,35.04789352416992,35.21485968,11.12922668,26.79105197,27.84944363,1.5201899958818275e-05
2000-01-16,270.53412,10.648785591125488,34.994895935058594,35.16177227,10.60539286,26.8443687,28.06353353000009,1.1414723932215597e-05
2000-01-16,315.37408,10.022347450256348,34.91782760620117,35.0845534,9.97654051,26.89408676,28.31922863,1.1724128788253279e-05
2000-01-16,372.96545,9.289389610290527,34.84363555908203,35.01031942,9.24029506,26.95937327,28.650182450000106,1.2729140744068358e-05
2000-01-16,446.80093,8.226117134094238,34.742305755615234,34.90886276,8.17413984,27.04807032,29.083468280000037,1.0727269047203278e-05
2000-01-16,540.5022,6.984182834625244,34.62843704223633,34.79485915,6.92929914,27.13897601,29.61556068999994,8.611635411891322e-06
2000-01-16,657.32294,5.663991928100586,34.51861953735352,34.68503939,5.60596126,27.22492433,30.25565761000007,7.363889330095459e-06
2000-01-16,799.5496,4.660709857940674,34.48497009277344,34.65177427,4.59647571,27.31635427,31.019038879999925,8.080789630619326e-06
2000-01-16,967.99585,4.154986381530762,34.58138656616211,34.74884659,4.07887059,27.44872643,31.937077979999916,
2000-02-15,5.0215898,27.112218856811523,35.941444396972656,36.11118355,27.07723981,23.39222889,23.41351689999999,-0.00017662883089763739
2000-02-15,15.07854,27.533031463623047,35.87316131591797,36.04259459,27.49885769,23.20554976,23.26939526000001,0.00011382992697512989
2000-02-15,25.16046,27.44654655456543,35.9951057434082,36.1651328,27.40496371,23.32618421,23.43271850999997,-3.160495461864389e-05
2000-02-15,35.27829,27.45152282714844,35.9515380859375,36.1213808,27.40934,23.29256038,23.44193014999996,0.00036150815406070925
2000-02-15,45.44776,26.751171112060547,36.164100646972656,36.33499909,26.69769116,23.67876329,23.87151112000004,0.00028685472473871974
2000-02-15,55.691494,25.855806350708008,36.197052001953125,36.36815405,25.79851348,23.98713755,24.223930299999893,0.0005349301782550384
2000-02-15,66.041985,23.79783821105957,36.13526916503906,36.30610394,23.74071591,24.56755163,24.850160149999965,0.0005343103347329048
2000-02-15,76.54591,21.542110443115234,36.05519485473633,36.22568505,21.48643539,25.15527528,25.485308040000064,0.0004700608219359219
2000-02-15,87.27029,19.28910446166992,35.95208740234375,36.12221252,19.23619457,25.68239137,26.06171446000008,0.0003256469666050204
2000-02-15,98.31118,17.405698776245117,35.82429122924805,35.99393727,17.35635913,26.05746907,26.48787945999993,0.00021755293772099396
2000-02-15,109.806175,15.898364067077637,35.69985580444336,35.86902348,15.85223227,26.31760354,26.80127453,0.00011274662244538157
2000-02-15,121.9519,14.92075252532959,35.59881591796875,35.76761708,14.87657189,26.4594676,26.998837030000004,0.00012602689459473892
2000-02-15,135.02855,13.489563941955566,35.423580169677734,35.5916682,13.44967995,26.62912709,27.230091870000024,6.674048171187905e-05
2000-02-15,149.43373,12.56352424621582,35.30929946899414,35.47697365,12.5256063,26.72752637,27.395371309999973,3.686647225905725e-05
2000-02-15,165.72845,11.938379287719728,35.2314338684082,35.3988536,11.90096848,26.78862741,27.5313834399999,1.4098295403891425e-05
2000-02-15,184.69746,11.545768737792969,35.16977310180664,35.33703838,11.50785406,26.81525868,27.644472910000104,2.805731379354984e-05
