time,depth,temperature,salinity
2000-01-16,5.0215898,26.163026809692383,35.87061309814453
2000-01-16,15.07854,26.186866760253906,35.9180908203125
2000-01-16,25.16046,26.14067268371582,36.04854965209961
2000-01-16,35.27829,26.199018478393555,36.022953033447266
2000-01-16,45.44776,25.72914695739746,35.992919921875
2000-01-16,55.691494,24.658172607421875,35.964115142822266
2000-01-16,66.041985,22.480754852294922,35.91051483154297
2000-01-16,76.54591,20.388351440429688,35.85374450683594
2000-01-16,87.27029,18.892953872680664,35.77165985107422
2000-01-16,98.31118,16.995498657226562,35.666934967041016
2000-01-16,109.806175,15.453032493591309,35.572975158691406
2000-01-16,121.9519,14.921907424926758,35.55611801147461
2000-01-16,135.02855,14.027372360229492,35.39498519897461
2000-01-16,149.43373,13.264872550964355,35.28343963623047
2000-01-16,165.72845,12.663495063781738,35.20524978637695
2000-01-16,184.69746,12.18036937713623,35.13929748535156
2000-01-16,207.42545,11.630596160888672,35.096012115478516
2000-01-16,235.38617,11.170411109924316,35.04789352416992
2000-01-16,270.53412,10.648785591125488,34.994895935058594
2000-01-16,315.37408,10.022347450256348,34.91782760620117
2000-01-16,372.96545,9.289389610290527,34.84363555908203
2000-01-16,446.80093,8.226117134094238,34.742305755615234
2000-01-16,540.5022,6.984182834625244,34.62843704223633
2000-01-16,657.32294,5.663991928100586,34.518619537353516
2000-01-16,799.5496,4.660709857940674,34.48497009277344
2000-01-16,967.99585,4.154986381530762,34.58138656616211
2000-02-15,5.0215898,27.112218856811523,35.941444396972656
2000-02-15,15.07854,27.533031463623047,35.87316131591797
2000-02-15,25.16046,27.44654655456543,35.9951057434082
2000-02-15,35.27829,27.451522827148438,35.9515380859375
2000-02-15,45.44776,26.751171112060547,36.164100646972656
2000-02-15,55.691494,25.855806350708008,36.197052001953125
2000-02-15,66.041985,23.79783821105957,36.13526916503906
2000-02-15,76.54591,21.542110443115234,36.05519485473633
2000-02-15,87.27029,19.289104461669922,35.95208740234375
2000-02-15,98.31118,17.405698776245117,35.82429122924805
2000-02-15,109.806175,15.898364067077637,35.69985580444336
2000-02-15,121.9519,14.92075252532959,35.59881591796875
2000-02-15,135.02855,13.489563941955566,35.423580169677734
2000-02-15,149.43373,12.56352424621582,35.30929946899414
2000-02-15,165.72845,11.938379287719727,35.2314338684082
2000-02-15,184.69746,11.545768737792969,35.16977310180664
2000-02-15,207.42545,10.988818168640137,35.120731353759766
2000-02-15,235.38617,10.597319602966309,35.06816864013672
2000-02-15,270.53412,10.087706565856934,35.0111083984375
2000-02-15,315.37408,9.418001174926758,34.93821334838867
2000-02-15,372.96545,8.752669334411621,34.858489990234375
2000-02-15,446.80093,7.740751266479492,34.748531341552734
2000-02-15,540.5022,6.574488639831543,34.640907287597656
2000-02-15,657.32294,5.5461745262146,34.52841567993164
2000-02-15,799.5496,4.599314212799072,34.486053466796875
2000-02-15,967.99585,4.141237258911133,34.5841064453125
2000-03-16,5.0215898,27.881685256958008,35.98878479003906
2000-03-16,15.07854,28.226024627685547,35.988121032714844
2000-03-16,25.16046,28.164783477783203,36.078453063964844
2000-03-16,35.27829,28.165571212768555,36.00785446166992
2000-03-16,45.44776,27.16514778137207,36.19108581542969
2000-03-16,55.691494,26.001277923583984,36.20040512084961
2000-03-16,66.041985,24.1450252532959,36.130313873291016
2000-03-16,76.54591,21.892459869384766,36.03535461425781
2000-03-16,87.27029,19.14255714416504,35.89806365966797
2000-03-16,98.31118,17.3663387298584,35.75835418701172
2000-03-16,109.806175,15.948238372802734,35.6281852722168
2000-03-16,121.9519,14.800935745239258,35.482200622558594
2000-03-16,135.02855,13.42525577545166,35.396942138671875
2000-03-16,149.43373,12.56484603881836,35.30113220214844
2000-03-16,165.72845,11.937325477600098,35.22759246826172
2000-03-16,184.69746,11.601150512695312,35.162086486816406
2000-03-16,207.42545,11.072790145874023,35.10774230957031
2000-03-16,235.38617,10.749333381652832,35.049530029296875
2000-03-16,270.53412,10.217513084411621,34.98371124267578
2000-03-16,315.37408,9.491230964660645,34.907386779785156
2000-03-16,372.96545,8.722391128540039,34.83957290649414
2000-03-16,446.80093,7.62758731842041,34.734947204589844
2000-03-16,540.5022,6.489136219024658,34.628662109375
2000-03-16,657.32294,5.623205661773682,34.52706527709961
2000-03-16,799.5496,4.668520450592041,34.490299224853516
2000-03-16,967.99585,4.163971424102783,34.583805084228516
2000-04-16,5.0215898,28.51629638671875,35.84425735473633
2000-04-16,15.07854,28.534849166870117,35.81446838378906
2000-04-16,25.16046,28.44589614868164,35.99385452270508
2000-04-16,35.27829,28.38677978515625,36.01519775390625
2000-04-16,45.44776,28.24372673034668,36.149898529052734
2000-04-16,55.691494,27.20267677307129,36.15235900878906
2000-04-16,66.041985,23.726947784423828,36.105567932128906
2000-04-16,76.54591,20.125608444213867,36.0340576171875
2000-04-16,87.27029,17.62447738647461,35.8845329284668
2000-04-16,98.31118,16.065759658813477,35.73331069946289
2000-04-16,109.806175,14.772791862487793,35.57803726196289
2000-04-16,121.9519,13.961084365844727,35.38213348388672
2000-04-16,135.02855,13.128802299499512,35.353240966796875
2000-04-16,149.43373,12.476611137390137,35.27937316894531
2000-04-16,165.72845,11.902460098266602,35.208492279052734
2000-04-16,184.69746,11.467921257019043,35.13700866699219
2000-04-16,207.42545,10.94523811340332,35.08387756347656
2000-04-16,235.38617,10.622116088867188,35.02680206298828
2000-04-16,270.53412,10.152174949645996,34.95977783203125
2000-04-16,315.37408,9.490943908691406,34.88016128540039
2000-04-16,372.96545,8.747893333435059,34.81635284423828
