--- TRAINING CONFIGURATION ---
{'model': {'modes1': 32, 'modes2': 32, 'modes3': 32, 'width': 32, 'n_vars': 5, 'n_layers': 4}, 'data': {'train_times': [1, 3], 'target_time': 5, 'simulation_dt': 20.0, 'grid_shape': (256, 256, 256)}, 'physics': {'kappa': 1e-06}, 'training': {'epochs': 4000, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'scheduler_pct_start': 0.1}, 'loss_weights': {'physics': 1.0, 'data': 10.0, 'bc': 50.0, 'smooth': 0.01}}

Epoch 0/4000 | Total: 2.0274e+05 | Physics: 1.3031e+00 | Data: 2.0272e+04 | BC: 4.0547e-01 | Smooth: 1.3517e-01
Epoch 1/4000 | Total: 2.0274e+05 | Physics: 1.3031e+00 | Data: 2.0271e+04 | BC: 4.0547e-01 | Smooth: 1.3429e-01
Epoch 2/4000 | Total: 2.0273e+05 | Physics: 1.3031e+00 | Data: 2.0271e+04 | BC: 4.0547e-01 | Smooth: 1.3343e-01
Epoch 3/4000 | Total: 2.0273e+05 | Physics: 1.3031e+00 | Data: 2.0271e+04 | BC: 4.0546e-01 | Smooth: 1.3260e-01
Epoch 4/4000 | Total: 2.0273e+05 | Physics: 1.3031e+00 | Data: 2.0271e+04 | BC: 4.0546e-01 | Smooth: 1.3178e-01
Epoch 5/4000 | Total: 2.0273e+05 | Physics: 1.3031e+00 | Data: 2.0271e+04 | BC: 4.0546e-01 | Smooth: 1.3099e-01
Epoch 6/4000 | Total: 2.0273e+05 | Physics: 1.3031e+00 | Data: 2.0270e+04 | BC: 4.0546e-01 | Smooth: 1.3022e-01
Epoch 7/4000 | Total: 2.0272e+05 | Physics: 1.3031e+00 | Data: 2.0270e+04 | BC: 4.0546e-01 | Smooth: 1.2947e-01
Epoch 8/4000 | Total: 2.0272e+05 | Physics: 1.3031e+00 | Data: 2.0270e+04 | BC: 4.0545e-01 | Smooth: 1.2875e-01
Epoch 9/4000 | Total: 2.0272e+05 | Physics: 1.3031e+00 | Data: 2.0270e+04 | BC: 4.0545e-01 | Smooth: 1.2804e-01
Epoch 10/4000 | Total: 2.0272e+05 | Physics: 1.3031e+00 | Data: 2.0270e+04 | BC: 4.0545e-01 | Smooth: 1.2736e-01
Epoch 11/4000 | Total: 2.0272e+05 | Physics: 1.3031e+00 | Data: 2.0270e+04 | BC: 4.0545e-01 | Smooth: 1.2670e-01
Epoch 12/4000 | Total: 2.0272e+05 | Physics: 1.3031e+00 | Data: 2.0269e+04 | BC: 4.0545e-01 | Smooth: 1.2607e-01
Epoch 13/4000 | Total: 2.0271e+05 | Physics: 1.3031e+00 | Data: 2.0269e+04 | BC: 4.0544e-01 | Smooth: 1.2546e-01
Epoch 14/4000 | Total: 2.0271e+05 | Physics: 1.3031e+00 | Data: 2.0269e+04 | BC: 4.0544e-01 | Smooth: 1.2487e-01
Epoch 15/4000 | Total: 2.0271e+05 | Physics: 1.3031e+00 | Data: 2.0269e+04 | BC: 4.0544e-01 | Smooth: 1.2431e-01
Epoch 16/4000 | Total: 2.0271e+05 | Physics: 1.3031e+00 | Data: 2.0269e+04 | BC: 4.0544e-01 | Smooth: 1.2378e-01
Epoch 17/4000 | Total: 2.0271e+05 | Physics: 1.3031e+00 | Data: 2.0268e+04 | BC: 4.0543e-01 | Smooth: 1.2327e-01
Epoch 18/4000 | Total: 2.0270e+05 | Physics: 1.3031e+00 | Data: 2.0268e+04 | BC: 4.0543e-01 | Smooth: 1.2280e-01
Epoch 19/4000 | Total: 2.0270e+05 | Physics: 1.3031e+00 | Data: 2.0268e+04 | BC: 4.0543e-01 | Smooth: 1.2235e-01
